customer_id,orders_12m,spend_12m_eur,website_visits_90d,avg_discount_rate,return_rate,days_since_last_order,support_tickets_12m,avg_order_value_eur,mobile_share,newsletter_open_rate,loyalty_years
44,38.0,2271.47,66.0,0.104,0.037,2.0,1.0,60.32,0.682,0.357,1.18
45,4.0,99.16,7.0,0.356,0.104,36.0,0.0,23.83,0.626,0.344,1.06
46,14.0,260.98,36.0,0.062,0.0,0.0,1.0,19.31,0.242,0.019,0.96
47,18.0,520.36,28.0,0.13,0.033,14.0,0.0,28.4,0.016,0.346,0.0
48,3.0,209.22,11.0,0.038,0.0,22.0,0.0,78.86,0.347,0.11,0.71
49,20.0,2158.41,52.0,0.009,0.013,4.0,0.0,108.06,0.683,0.322,2.62
50,16.0,373.32,26.0,0.0,0.065,15.0,0.0,23.91,0.46,0.084,1.09
51,34.0,1142.23,67.0,0.064,0.054,5.0,3.0,33.45,0.491,0.11,2.6
52,7.0,424.92,20.0,0.043,0.076,20.0,0.0,63.82,0.535,0.024,0.81
53,9.0,402.92,28.0,0.129,0.118,0.0,0.0,43.96,0.389,0.311,2.73
54,12.0,304.99,28.0,0.011,0.044,25.0,0.0,25.06,0.189,0.323,1.35
55,7.0,607.77,25.0,0.089,0.095,17.0,2.0,92.67,0.357,0.084,1.74
56,11.0,1746.45,29.0,0.047,0.036,12.0,3.0,163.81,0.41,,1.46
57,16.0,568.47,23.0,0.062,0.049,9.0,0.0,35.98,0.458,,2.23
58,9.0,399.43,40.0,0.102,0.067,21.0,0.0,46.67,0.411,0.159,1.55
59,2.0,74.25,14.0,,0.008,45.0,1.0,39.61,0.109,0.296,2.1
60,31.0,561.65,66.0,0.419,0.101,9.0,3.0,18.13,0.308,0.162,2.45
61,10.0,658.43,29.0,0.066,0.091,10.0,0.0,64.81,0.555,0.242,1.29
62,16.0,614.46,16.0,0.045,0.114,7.0,2.0,37.34,0.579,0.178,2.07
63,14.0,603.18,23.0,0.082,0.008,14.0,2.0,42.79,0.141,0.384,1.11
64,7.0,102.21,10.0,0.343,0.019,57.0,1.0,15.65,0.599,0.282,1.18
65,2.0,77.07,2.0,0.075,0.0,52.0,1.0,36.33,0.309,0.113,1.21
66,3.0,109.79,2.0,0.081,0.013,150.0,0.0,41.65,0.517,0.0,1.22
67,0.0,32.38,12.0,0.018,0.021,35.0,0.0,32.38,0.468,0.267,0.31
68,15.0,403.79,26.0,0.075,0.027,13.0,0.0,26.76,0.187,0.173,3.23
69,17.0,1751.8,56.0,0.013,0.008,7.0,1.0,103.29,0.613,0.076,2.03
70,16.0,519.76,24.0,0.148,0.0,11.0,0.0,32.74,0.513,0.23,2.3
71,15.0,252.78,25.0,0.087,0.072,1.0,1.0,16.81,0.486,0.289,2.8
72,14.0,802.99,22.0,0.147,0.12,10.0,1.0,58.49,0.546,0.156,2.87
73,23.0,833.32,25.0,0.321,0.107,11.0,1.0,36.12,0.447,0.335,0.59
74,0.0,59.33,1.0,0.215,0.0,66.0,0.0,59.33,0.228,0.105,2.91
75,20.0,752.48,48.0,0.361,0.16,15.0,1.0,36.87,0.337,0.085,0.0
76,34.0,1672.5,34.0,0.023,0.041,2.0,0.0,49.71,0.51,0.336,1.93
77,4.0,110.78,7.0,0.207,0.047,42.0,1.0,28.08,0.341,0.0,0.0
78,2.0,16.24,1.0,0.143,0.0,162.0,1.0,7.45,0.029,0.0,0.62
79,4.0,106.33,9.0,0.182,0.076,4.0,1.0,29.76,0.854,0.126,
80,9.0,793.88,19.0,0.126,0.057,18.0,1.0,86.76,0.273,0.152,1.91
81,16.0,352.96,29.0,0.141,0.031,16.0,1.0,22.71,0.232,0.24,2.8
82,39.0,1421.73,73.0,0.046,0.05,3.0,2.0,36.16,0.075,0.249,3.04
83,14.0,542.04,32.0,0.056,0.0,23.0,0.0,38.8,0.677,0.104,1.02
84,4.0,154.64,3.0,0.288,0.038,33.0,0.0,35.45,0.364,0.323,2.26
85,3.0,187.14,2.0,0.151,0.046,63.0,1.0,66.63,0.27,0.34,0.51
86,18.0,2801.26,67.0,0.046,0.033,9.0,0.0,151.53,0.58,0.184,2.35
87,9.0,529.31,32.0,0.147,0.065,17.0,1.0,57.26,0.611,0.152,1.15
88,30.0,1783.53,84.0,0.043,0.054,10.0,1.0,59.37,0.602,0.237,0.71
89,19.0,599.17,11.0,0.13,0.091,11.0,1.0,30.88,0.31,0.146,1.7
90,27.0,662.65,47.0,,0.076,6.0,0.0,24.2,0.844,0.343,1.2
91,0.0,15.66,2.0,0.101,0.03,82.0,1.0,15.66,0.175,0.158,1.27
92,6.0,143.26,4.0,0.246,0.058,31.0,0.0,25.97,0.451,0.0,1.34
93,3.0,79.59,4.0,0.035,0.09,95.0,1.0,25.06,0.17,0.0,1.39
94,12.0,864.42,48.0,0.331,0.094,10.0,2.0,70.39,0.405,0.198,0.8
95,17.0,1746.97,47.0,0.065,0.03,0.0,0.0,103.22,0.091,0.059,1.72
96,35.0,1116.7,59.0,0.057,0.019,8.0,3.0,32.16,0.03,0.023,2.32
97,11.0,603.41,29.0,0.114,0.065,14.0,2.0,54.48,0.32,0.181,2.72
98,2.0,96.95,0.0,0.099,0.054,102.0,1.0,49.73,0.266,0.128,1.07
99,1.0,128.52,4.0,0.307,0.005,41.0,0.0,92.31,0.378,0.297,1.71
100,12.0,273.76,18.0,0.037,0.061,14.0,0.0,22.61,0.399,0.306,2.07
101,19.0,388.14,35.0,0.357,0.027,12.0,4.0,20.55,0.424,0.385,1.36
102,3.0,126.07,7.0,0.147,0.098,42.0,1.0,43.68,0.258,0.413,0.03
103,14.0,1796.41,54.0,0.057,0.029,8.0,2.0,127.45,0.868,0.423,1.52
104,18.0,544.1,28.0,0.09,0.059,14.0,0.0,30.22,0.687,0.265,3.69
105,25.0,591.82,41.0,0.35,0.047,1.0,1.0,23.42,0.8,0.1,1.23
106,5.0,16.6,13.0,0.22,0.027,55.0,1.0,3.69,0.694,0.293,0.76
107,19.0,1859.34,61.0,0.023,0.062,0.0,1.0,95.47,0.322,0.22,0.79
108,14.0,756.08,66.0,0.173,0.079,11.0,1.0,53.41,0.671,0.16,0.25
109,31.0,2136.86,47.0,0.054,0.036,5.0,1.0,68.15,0.734,0.379,2.58
110,12.0,551.08,33.0,0.132,0.044,16.0,2.0,45.87,0.465,0.178,0.97
111,15.0,1858.5,86.0,0.062,0.057,3.0,3.0,121.55,0.266,0.313,2.1
112,7.0,646.5,28.0,0.086,0.05,0.0,1.0,92.44,0.183,0.134,3.34
113,33.0,1183.41,60.0,0.098,0.047,0.0,1.0,35.65,0.565,0.282,2.76
114,5.0,132.2,11.0,0.104,0.023,39.0,0.0,24.24,0.116,0.412,1.54
115,0.0,97.8,8.0,0.068,0.046,27.0,0.0,97.8,0.4,0.178,0.0
116,4.0,242.94,1.0,0.163,0.031,32.0,1.0,66.07,0.302,0.0,1.56
117,4.0,100.89,10.0,0.259,0.026,47.0,0.0,25.07,0.71,0.124,0.0
118,17.0,563.07,15.0,0.032,0.067,23.0,2.0,32.63,0.366,0.133,2.23
119,2.0,179.27,11.0,0.226,0.078,24.0,0.0,117.09,0.203,0.546,0.0
120,8.0,501.63,21.0,0.084,0.046,6.0,1.0,63.67,0.293,0.205,1.11
121,43.0,1859.95,62.0,0.061,0.025,5.0,0.0,43.61,0.692,0.295,1.21
122,22.0,619.74,38.0,0.335,0.084,4.0,1.0,28.52,0.526,0.054,1.61
123,16.0,814.38,30.0,0.108,0.038,11.0,1.0,51.21,0.595,0.159,2.89
124,12.0,513.22,34.0,0.098,0.078,20.0,2.0,42.16,0.441,0.121,2.58
125,9.0,318.17,16.0,0.019,0.125,16.0,1.0,37.38,0.456,0.204,1.04
126,3.0,127.84,8.0,0.043,0.033,67.0,0.0,50.3,0.199,0.208,1.25
127,15.0,1104.13,79.0,0.034,0.021,3.0,0.0,75.0,0.737,0.084,1.43
128,17.0,679.02,67.0,0.576,0.046,10.0,0.0,39.2,0.285,0.173,0.0
129,7.0,629.76,25.0,0.023,0.071,10.0,0.0,88.83,0.528,0.457,2.1
130,12.0,196.13,10.0,0.108,0.063,11.0,1.0,16.0,0.406,0.201,3.24
131,2.0,91.91,3.0,0.0,0.045,68.0,1.0,52.52,0.489,0.243,1.13
132,31.0,1950.19,55.0,0.018,0.015,14.0,0.0,63.04,0.329,0.302,2.85
133,31.0,2552.52,51.0,0.065,0.014,3.0,3.0,82.4,0.5,0.191,2.63
134,22.0,633.83,12.0,0.398,0.07,6.0,2.0,28.77,0.861,0.119,0.91
135,3.0,197.29,12.0,0.178,0.025,16.0,0.0,68.1,0.471,0.388,0.49
136,28.0,1658.16,58.0,0.105,0.024,10.0,0.0,58.99,0.292,0.343,2.53
137,31.0,1645.3,63.0,0.074,0.043,7.0,2.0,53.2,0.55,0.102,3.19
138,16.0,498.3,49.0,,0.083,11.0,1.0,30.98,0.384,0.322,1.39
139,21.0,412.48,18.0,0.111,0.02,24.0,2.0,19.82,0.551,0.153,2.83
140,22.0,842.27,62.0,0.069,0.0,5.0,0.0,38.69,0.309,0.346,1.79
141,29.0,1438.43,58.0,0.042,0.045,8.0,1.0,49.28,0.319,0.091,1.15
142,13.0,524.07,24.0,0.1,0.076,13.0,2.0,39.01,0.627,0.444,2.31
143,4.0,32.39,4.0,0.165,0.0,57.0,2.0,8.29,0.186,0.128,0.58
144,13.0,601.17,24.0,0.018,0.051,16.0,3.0,44.72,0.549,0.098,0.97
145,2.0,103.71,2.0,0.104,0.04,70.0,0.0,51.95,0.633,0.112,0.25
146,0.0,225.11,6.0,0.134,0.059,76.0,1.0,225.11,0.36,0.215,0.69
147,2.0,132.58,17.0,0.175,0.046,18.0,1.0,64.03,0.756,0.288,0.0
148,11.0,177.4,39.0,0.135,0.03,2.0,2.0,16.29,0.403,0.22,1.94
149,1.0,77.98,8.0,0.225,0.048,42.0,0.0,56.84,0.247,0.371,0.77
150,5.0,133.6,8.0,0.293,0.063,39.0,1.0,27.68,0.6,0.187,2.34
151,2.0,70.95,3.0,0.145,0.026,77.0,1.0,38.99,0.593,0.0,1.59
152,6.0,337.07,40.0,0.115,0.032,7.0,2.0,53.6,0.506,0.165,1.88
153,8.0,749.3,30.0,0.012,,10.0,0.0,99.55,0.238,0.162,4.33
154,3.0,145.62,5.0,0.194,0.061,16.0,1.0,45.83,0.249,0.129,2.51
155,39.0,1882.64,55.0,0.034,0.012,4.0,3.0,48.35,0.229,0.261,1.05
156,4.0,57.16,8.0,0.177,0.016,12.0,2.0,14.3,0.065,0.323,0.77
157,15.0,366.48,36.0,0.454,0.092,16.0,1.0,24.43,0.769,0.324,0.99
158,16.0,519.06,37.0,0.18,0.052,9.0,1.0,32.53,0.077,0.0,2.55
159,2.0,165.0,1.0,0.167,0.045,29.0,1.0,71.31,0.674,0.274,0.61
160,22.0,2250.74,80.0,0.072,0.031,11.0,2.0,104.18,0.115,0.152,2.72
161,16.0,691.34,32.0,0.097,0.087,20.0,1.0,43.42,0.186,0.312,1.7
162,10.0,420.82,29.0,0.093,0.005,21.0,0.0,41.51,0.296,0.217,3.72
163,2.0,31.3,12.0,0.178,0.064,50.0,0.0,14.46,0.102,0.288,1.72
164,21.0,787.88,57.0,0.424,0.099,16.0,2.0,38.09,0.437,0.301,0.84
165,9.0,321.35,31.0,0.031,0.042,12.0,1.0,34.76,0.451,0.347,3.1
166,6.0,83.89,2.0,0.178,0.018,39.0,3.0,13.23,0.335,0.214,1.04
167,2.0,123.44,3.0,0.234,0.004,127.0,0.0,55.62,0.446,0.022,0.0
168,4.0,23.74,13.0,0.103,0.035,47.0,0.0,6.43,0.193,0.215,0.23
169,0.0,60.62,12.0,0.343,0.064,44.0,1.0,60.62,0.208,0.329,0.0
170,19.0,356.2,31.0,0.173,0.037,13.0,0.0,18.55,0.246,0.057,0.75
171,0.0,90.97,11.0,0.145,0.048,15.0,1.0,90.97,0.348,0.07,0.0
172,12.0,251.61,23.0,0.183,0.096,15.0,1.0,20.92,0.29,0.219,2.51
173,8.0,455.37,21.0,0.176,0.064,16.0,2.0,57.75,0.28,0.418,1.03
174,2.0,82.74,4.0,0.102,0.069,63.0,0.0,43.73,0.378,0.108,0.03
175,2.0,112.88,4.0,0.0,0.019,71.0,0.0,52.7,0.833,0.022,0.72
176,2.0,0.0,6.0,0.119,0.053,37.0,0.0,0.0,0.554,0.172,0.88
177,25.0,987.54,47.0,0.527,0.045,6.0,1.0,39.67,0.489,0.063,2.13
178,5.0,32.38,5.0,0.117,0.038,17.0,0.0,6.94,0.587,,0.62
179,18.0,540.18,42.0,0.379,0.04,17.0,1.0,29.26,0.525,0.311,0.69
180,17.0,683.29,39.0,0.072,0.081,17.0,3.0,40.59,0.5,0.1,1.15
181,31.0,1969.8,57.0,0.056,,11.0,0.0,64.38,0.249,0.313,1.29
182,30.0,2616.48,43.0,0.034,0.017,7.0,2.0,88.21,0.694,0.246,0.97
183,11.0,529.36,49.0,0.441,0.032,9.0,1.0,47.41,0.743,0.151,0.5
184,0.0,135.96,6.0,0.058,0.039,90.0,1.0,135.96,0.368,0.0,0.0
185,0.0,119.97,5.0,0.205,0.065,13.0,1.0,119.97,0.143,0.335,0.44
186,37.0,2274.56,46.0,0.049,0.041,5.0,3.0,61.95,0.188,0.28,1.25
187,24.0,1844.65,75.0,0.101,0.033,10.0,1.0,76.89,0.229,0.227,1.96
188,1.0,166.32,1.0,0.274,0.054,56.0,0.0,111.33,0.28,0.0,1.5
189,34.0,2486.55,68.0,0.031,0.051,0.0,3.0,72.35,0.182,0.273,0.62
190,14.0,271.0,23.0,0.161,0.042,13.0,1.0,19.56,0.546,0.023,1.18
191,3.0,202.65,6.0,0.027,0.085,45.0,1.0,79.54,0.208,0.251,1.13
192,17.0,652.91,39.0,0.148,0.049,15.0,2.0,38.86,0.722,0.301,1.04
193,5.0,462.12,32.0,0.052,0.072,13.0,0.0,87.67,0.356,0.234,1.72
194,4.0,650.47,30.0,0.166,0.04,9.0,0.0,160.14,0.359,0.304,2.01
195,33.0,1870.83,62.0,0.067,0.043,7.0,1.0,56.17,0.231,0.098,1.88
196,11.0,325.22,28.0,0.0,0.036,0.0,1.0,29.38,0.218,0.036,2.13
197,1.0,8.91,2.0,0.055,0.061,112.0,0.0,8.91,0.77,0.24,0.0
198,0.0,61.49,9.0,0.224,0.0,45.0,0.0,61.49,0.605,0.047,1.13
199,8.0,738.95,33.0,0.171,0.083,7.0,1.0,92.76,0.248,0.191,2.8
200,0.0,639.72,37.0,0.088,0.102,13.0,0.0,639.72,0.573,0.146,1.45
201,13.0,913.05,39.0,0.494,0.101,23.0,3.0,71.53,0.488,0.153,1.74
202,29.0,1363.02,50.0,0.0,0.045,0.0,2.0,47.23,0.644,0.493,0.7
203,1.0,125.22,10.0,0.255,0.072,45.0,1.0,125.22,0.196,0.213,0.57
204,26.0,1928.79,63.0,0.114,0.033,8.0,1.0,74.9,0.693,0.268,2.2
205,18.0,452.12,58.0,0.435,0.074,0.0,4.0,25.22,0.746,0.152,2.43
206,12.0,449.09,44.0,0.548,0.018,16.0,0.0,36.52,0.542,0.102,0.0
207,4.0,154.67,3.0,0.257,0.074,24.0,1.0,42.8,0.289,0.0,2.15
208,2.0,168.06,4.0,0.162,0.046,38.0,3.0,97.94,0.203,0.21,0.92
209,26.0,1067.58,48.0,0.381,0.135,16.0,1.0,41.29,0.441,0.097,0.0
210,13.0,713.11,33.0,0.467,0.131,11.0,0.0,57.04,0.997,0.066,1.44
211,1.0,86.96,5.0,0.098,0.017,35.0,1.0,62.96,0.661,0.148,1.79
212,13.0,492.64,21.0,0.138,0.0,7.0,1.0,37.49,0.682,0.186,1.65
213,6.0,86.63,7.0,0.208,0.029,59.0,1.0,14.97,0.665,0.229,0.11
214,7.0,452.28,36.0,0.043,0.034,0.0,2.0,61.16,0.133,0.065,1.3
215,4.0,172.31,7.0,0.239,0.05,36.0,0.0,45.81,0.549,0.421,2.07
216,13.0,395.37,40.0,0.047,0.069,15.0,1.0,29.78,0.848,0.172,1.13
217,3.0,70.61,5.0,,0.024,21.0,1.0,24.45,0.149,0.258,0.5
218,2.0,44.61,5.0,0.228,0.042,123.0,0.0,22.01,0.309,0.0,0.0
219,19.0,490.16,42.0,0.168,0.025,23.0,0.0,25.23,0.453,0.182,1.68
220,5.0,70.16,17.0,0.058,0.058,49.0,1.0,13.51,0.306,0.064,0.74
221,18.0,497.22,32.0,0.075,0.051,21.0,1.0,27.35,0.49,0.182,0.37
222,10.0,398.43,23.0,0.001,0.033,13.0,2.0,41.53,0.434,0.156,2.41
223,31.0,1583.4,41.0,0.0,0.038,5.0,1.0,50.35,0.396,0.032,1.93
224,20.0,592.38,29.0,0.04,0.095,12.0,1.0,30.21,0.297,0.124,
225,16.0,418.88,42.0,0.092,0.062,19.0,1.0,25.93,0.465,0.149,4.28
226,11.0,695.22,34.0,0.12,0.026,8.0,1.0,66.13,0.256,0.238,1.3
227,15.0,667.56,12.0,0.211,0.066,21.0,2.0,44.51,0.492,0.393,1.72
228,2.0,18.2,2.0,0.181,0.081,149.0,0.0,9.02,0.362,0.078,0.0
229,12.0,466.56,24.0,0.146,0.095,8.0,1.0,40.4,0.368,0.188,2.7
230,12.0,850.83,43.0,0.339,0.069,12.0,1.0,71.05,0.295,0.045,0.63
231,4.0,98.82,4.0,0.366,0.0,14.0,2.0,24.46,0.252,0.21,0.43
232,4.0,117.44,11.0,0.253,0.066,21.0,0.0,28.18,0.252,0.32,0.71
233,19.0,689.33,26.0,0.485,0.067,5.0,0.0,37.25,0.571,0.158,0.84
234,11.0,746.76,29.0,0.147,0.005,9.0,1.0,66.99,0.664,0.197,3.29
235,19.0,602.9,30.0,0.139,0.033,8.0,0.0,31.42,0.327,0.0,1.87
236,16.0,311.3,19.0,0.09,0.013,5.0,0.0,19.18,0.314,0.19,0.52
237,12.0,392.37,28.0,0.161,0.094,1.0,0.0,32.71,0.347,0.26,1.94
238,41.0,2337.49,54.0,0.055,0.015,3.0,1.0,56.76,0.459,0.182,1.01
239,18.0,171.56,32.0,0.161,0.118,12.0,0.0,9.48,0.478,0.238,1.5
240,19.0,510.59,40.0,0.132,0.056,3.0,1.0,27.17,0.072,0.096,3.47
241,7.0,563.13,40.0,0.483,0.017,15.0,1.0,77.83,0.721,0.217,1.74
242,0.0,41.35,3.0,0.282,0.0,115.0,0.0,41.35,0.623,0.097,0.43
243,2.0,84.31,0.0,0.099,0.079,108.0,1.0,37.43,0.611,0.084,1.06
244,15.0,707.92,31.0,0.163,0.017,23.0,1.0,48.61,0.287,0.242,1.89
245,6.0,108.16,8.0,0.078,0.036,59.0,0.0,17.16,0.45,0.083,1.11
246,7.0,97.85,6.0,0.023,0.0,24.0,1.0,13.5,0.198,,0.0
247,13.0,428.36,36.0,0.14,0.038,21.0,3.0,31.87,0.693,0.434,1.8
248,2.0,183.94,13.0,0.237,0.058,36.0,0.0,73.94,0.16,0.076,1.61
249,3.0,64.85,16.0,0.1,0.053,46.0,2.0,19.82,0.248,0.205,0.77
250,5.0,164.68,7.0,0.151,0.035,12.0,0.0,30.42,0.485,0.287,0.92
251,1.0,82.58,3.0,0.075,0.092,83.0,1.0,65.6,0.059,0.0,0.68
252,3.0,109.55,6.0,0.172,0.095,40.0,0.0,33.05,0.19,0.219,1.05
253,4.0,201.67,13.0,0.233,0.041,55.0,1.0,48.15,0.449,0.592,0.36
254,1.0,0.0,4.0,0.097,0.049,96.0,1.0,0.0,0.042,0.103,1.09
255,33.0,1564.63,55.0,0.0,0.016,10.0,0.0,47.64,0.757,0.141,1.65
256,31.0,1435.28,39.0,0.053,0.06,4.0,1.0,45.86,0.247,0.347,2.64
257,7.0,568.37,28.0,0.017,0.008,26.0,1.0,81.49,0.407,0.29,1.79
258,1.0,78.64,4.0,0.065,0.0,105.0,1.0,54.4,0.256,0.113,2.32
259,1.0,43.87,3.0,0.092,0.0,28.0,0.0,43.87,0.545,0.295,0.0
260,3.0,586.12,21.0,0.08,0.059,18.0,0.0,178.1,0.478,0.207,2.36
261,1.0,81.47,2.0,0.048,0.0,112.0,0.0,81.47,0.311,0.091,1.7
262,12.0,422.69,27.0,0.153,0.045,0.0,1.0,36.62,0.232,0.143,1.11
263,15.0,822.18,28.0,0.004,0.071,8.0,1.0,54.29,0.191,0.043,2.26
264,20.0,621.54,43.0,0.403,0.115,20.0,2.0,31.23,0.328,0.158,1.27
265,41.0,2039.75,29.0,0.013,0.049,0.0,1.0,49.44,0.209,0.126,1.99
266,7.0,209.28,5.0,0.226,0.072,36.0,0.0,29.05,0.256,0.271,1.97
267,0.0,627.95,29.0,0.0,0.112,16.0,1.0,627.95,0.296,0.047,2.78
268,4.0,23.31,11.0,0.168,0.0,29.0,1.0,5.68,0.478,0.055,0.47
269,19.0,328.95,51.0,0.309,0.081,6.0,0.0,17.53,0.423,0.23,1.29
270,6.0,304.02,33.0,0.068,0.094,9.0,0.0,53.48,0.366,0.05,3.03
271,7.0,120.02,3.0,0.116,0.046,46.0,1.0,17.98,0.316,0.039,1.04
272,2.0,117.31,5.0,0.132,0.073,61.0,0.0,48.0,0.502,0.066,1.61
273,1.0,56.86,1.0,0.208,0.03,113.0,0.0,56.86,0.461,0.095,2.48
274,36.0,1571.37,44.0,0.036,0.053,6.0,0.0,44.18,0.292,0.123,0.73
275,17.0,863.35,27.0,0.101,0.061,5.0,1.0,50.94,0.607,0.001,0.92
276,15.0,851.31,31.0,0.048,0.033,14.0,1.0,58.59,0.278,0.291,1.64
277,3.0,100.76,11.0,0.078,0.019,20.0,0.0,32.97,0.111,0.236,2.82
278,4.0,70.75,6.0,0.035,0.03,50.0,2.0,17.16,0.208,0.167,1.27
279,21.0,744.24,42.0,0.099,0.08,10.0,0.0,35.5,0.368,0.193,1.6
280,16.0,150.25,33.0,0.096,0.077,16.0,0.0,9.5,0.04,0.293,2.91
281,27.0,2617.4,53.0,0.136,0.037,0.0,1.0,95.94,0.705,0.316,1.39
282,3.0,146.76,4.0,0.215,0.009,35.0,0.0,45.51,0.592,0.222,1.33
283,0.0,69.15,8.0,0.193,0.055,37.0,0.0,69.15,0.465,0.289,0.1
284,23.0,2952.74,77.0,0.074,0.066,5.0,3.0,127.41,0.392,0.214,2.64
285,16.0,750.14,11.0,0.331,0.082,0.0,3.0,47.24,0.8,0.172,0.85
286,22.0,613.96,54.0,0.481,0.079,0.0,1.0,28.36,0.613,0.352,2.57
287,39.0,1842.51,86.0,0.052,0.012,4.0,3.0,47.53,0.381,0.051,2.75
288,1.0,34.3,1.0,0.137,0.025,91.0,1.0,24.58,0.522,0.0,0.53
289,13.0,426.99,37.0,0.104,0.102,16.0,0.0,33.35,0.52,0.257,1.48
290,8.0,425.86,42.0,0.401,0.126,15.0,1.0,55.6,0.666,0.094,2.33
291,12.0,478.61,17.0,0.113,0.042,12.0,1.0,39.07,0.599,0.094,1.12
292,13.0,592.5,40.0,0.0,0.004,20.0,1.0,46.87,0.433,0.0,0.9
293,1.0,105.28,4.0,0.193,0.024,87.0,0.0,105.28,0.453,0.0,1.94
294,15.0,348.25,21.0,0.21,0.006,14.0,2.0,23.25,0.602,0.222,1.16
295,20.0,1964.48,54.0,0.066,0.065,3.0,1.0,99.68,0.559,0.11,2.01
296,8.0,144.05,51.0,0.079,0.048,19.0,0.0,19.2,0.33,0.342,1.54
297,2.0,16.6,3.0,0.257,0.013,47.0,1.0,8.87,0.29,0.136,0.63
298,2.0,112.37,5.0,0.214,0.06,51.0,1.0,48.47,0.261,0.106,0.49
299,13.0,675.85,31.0,0.109,0.027,16.0,0.0,52.62,0.563,0.0,3.91
300,30.0,2106.71,37.0,0.067,0.037,6.0,4.0,69.28,0.723,0.375,2.1
