record_id;machine_type;shift;operator_level;maintenance_done_recently;temperature_c;pressure_bar;vibration_mm_s;current_a;runtime_hours;humidity_pct;production_rate_units_h;defect_count_last_hour;days_since_maintenance;machine_status
102048;Pump;Morning;junior;No;72.61;8.08;4.49;18.35;924,3;58.3;95.0;2;7;FAILURE
102306;Pump;afternoon;senior;No;77.24;8.59;7.26;18,65;869.9;48.7;101.7;0;108;FAILURE
100969;Compressor;night;Mid;No;101.09;9.23;6.49;;1080.5;57.8;64.8;4;52;FAILURE
102124;CNC;Afternoon;Senior;Yes;83.57;7.13;4.18;19.43;561.1;38.0;91.0;0;54;WARNING
100551;Pump;Morning;Junior;no;76.06;7.88;2.29;20.59;643.6;40.0;80.7;2;90;WARNING
101603;Compressor;morning;Intermediate;No;74.92;8.4 bar;6.12;17.68;776.2 h;27.5;80.3;2;106;FAILURE
100369;Pump;Afternoon;junior;No;79.24;5.79;1.29;20.87;235.0;56.5;73.9;1;11;OK
100844;Pump;AFT;Senior;0;85.15;8.36;3.6;25.13;353.2 h;31.1;100.1;6;74;WARNING
101682;Conveyor;Morning;Intermediate;No;66.4;6.66;1.32;16.68;643.3;47.1;136,9;2;114;WARNING
101662;Compressor;Night;Senior;yes;92.81;8.69;1.5;23.81;364.6;17.5;75.9;3;63;OK
102380;Compressor;N;Intermediate;No;94.79;6,4;4.86;25.01;480,4;62.2;83.4;3;31;FAILURE
101859;CNC;Morning;Mid;No;64.14;4.99;1.37;16.92;583.4;27.8;82.3;0;60;OK
101927;Pump;Night;Intermediate;No;96.05;6.54;1.31;20.61;1500.8;57.1;66.0;1;101;FAILURE
101321;Pump;Morning;Senior;No;83.25;8.42;2.27;20.19;1516,9;42.5 %;79.3;5;3;FAILURE
102369;Pump;Morning;Senior;No;78.79;7,65;0.71;20.43;314.5 h;55,1;97.1;2;110;OK
100361;Conveyor;Night;Senior;N;69.92;6.1;1.69;9,92;374.8;31.4;118.1;1;82;OK
100677;Conveyor;afternoon;Intermediate;;57.09;5.85;3.56;18,32;189.3;28.7;127.4;3;79;OK
100947;Compressor;Afternoon;senior;No;92.01;6.74;3.94;26.65;339,3;59.1;98.4;1;108;WARNING
100916;Conveyor;NIGHT;Sr;Yes;40.58 C;7.1;1.79;15.31;599.1;25.1;120.4;0;40;OK
100676;Pump;Night;Intermediate;No;84.88;4.93 bar;4.94;unknown;871.1;48.9;79.1;2;91;FAILURE
101942;Pump;MORNING;Senior;no;73.92;7.83;2,93;30.98;1164.3;56.7;73.6;2;105;FAILURE
102585;CNC;MORNING;intermediate;No;61.76;5.21;0.56;20.66;639.7;50.8;122.2;1;9;OK
101378;Conveyor;M;Senior;no;49.72;6.31;1.84;10.88;1159.4;23.3 %;101.6;0;101;FAILURE
100538;CNC;Morning;Mid;1;65.6;4.05;1.88;15.38;730.2;47.3;139.7;1;93;OK
100732;CNC;Morning;Junior;1;63.72;6.17;2.75;26.28;380.3;58.4;104.2;4;22;OK
101817;Compressor;Afternoon;Intermediate;Yes;83.38;8.19;1.49;20.62;1855.6;62.8;;4;48;FAILURE
100037;CNC;Afternoon;Junior;N;75.84;5.73;3.09;16.88;285.7;34.4;85.9;1;81;OK
102384;CNC;Morning;Senior;1;39.43;7,64;7.45;16.31;587.4;68.0;113.5;0;87;WARNING
100022;Pump;N;Intermediate;No;;7.22;1.32;20.03;405.8;42.2;91.1;1;102;OK
100549;Compressor;Night;Senior;Y;102.1;8.9;0.77;24.39;688,1;34.4;93.3 u/h;1;104;WARNING
100731;Pump;Night;Senior;no;83.17;7.58;0.23;27.8;401.2;35.3;72.9;0;79;OK
100201;Compressor;Night;Intermediate;No;71.33;6.83;7.6;32.33;181.6;43.1;67.4;4;82;WARNING
101500;Compressor;night;Intermediate;Yes;;6.62;1.89;23.82;394.7;10.0;92.6;3;66;OK
102509;Pump;Afternoon;Intermediate;No;76.48;8.92;3.9;16.7;697.6;43.0;81.0;1;75;FAILURE
100372;CNC;AFT;Junior;No;64.34;6.88;5.12;10.01;619.6;30.6;97.4;1;10;WARNING
101595;Conveyor;MORNING;intermediate;No;65.06;4.52;1.77;10.73;612.5;35.3;134.3;0;119;OK
100983;Compressor;afternoon;Senior;0;89.83;8.01;4.84;30.12;1051.6;25.7;68.5;0;108;FAILURE
101795;Conveyor;Morning;Senior;0;62.49;unknown;5.21;15.52;436.8;46,8;120.7;2;79;OK
102581;CNC;Afternoon;Senior;No;53.9 C;9.01;8.01;17.43 A;326.1;59.3;87.7;2;113;FAILURE
100117;Compressor;A;Junior;no;105.06;6.58;3.1;11,85;;47.1 %;73.6;5;81;FAILURE
102385;CNC;morning;Intermediate;Yes;78.95;5.67;2.91;12.58;1170.5;43.6;90.6;2;40;FAILURE
102517;CNC;afternoon;Mid;N;77.23;3.6;1.89;20.72;345.7;59.9;111.7;0;80;OK
101820;Compressor;Afternoon;Intermediate;no;64.97;7.17 bar;;15,45;683.1;68.2;73.4;0;72;WARNING
102137;Pump;A;Intermediate;no;70.79;7.53;0.67;16.02;917.4;47.8;68.6;1;77;FAILURE
102262;Conveyor;Night;Intermediate;no;72.52;5.48;1.75;23,62;857.6;53.9;;0;64;OK
102372;Pump;Morning;Senior;no;77,55;8.48;8.44;23.83;875.7;54.1;107.7;3;69;FAILURE
102060;CNC;morning;junior;no;55.52 C;5.58;1.24;20.42 A;433.5;error;92.7;0;111;OK
102544;CNC;NIGHT;Senior;N;78.62;6.8;3.55;25.03;1029.8;;80.0;2;118;FAILURE
102257;Conveyor;Afternoon;Senior;Yes;58,41;6.58 bar;5.53;17.43;913.8;46.5;119.0;3;90;FAILURE
101736;Compressor;Morning;Senior;no;77.96;9.09;4.67;18.79;438.3;59.8;110.5;7;66;FAILURE
100659;Compressor;afternoon;Intermediate;N;96.89;11.09;4.16;20.65;623.1;52.5 %;79.4;1;62;FAILURE
101951;Conveyor;Morning;Intermediate;No;67.99;5.73;0.5;15.22;125.6;50.5;140.0;0;15;OK
100710;Pump;Morning;Junior;N;55.9;5.28;3.44;18.3;890.8;29.3;87.3;2;108;FAILURE
102513;CNC;Night;Intermediate;No;79.37;8.27;2.27;25.36;624.1;;80.7;1;45;WARNING
100055;Compressor;Afternoon;senior;N;88.44;8.3 bar;2.67;12.07;1234.3;50.4;74.2;0;26;FAILURE
100554;Conveyor;Morning;Senior;Yes;60.78;5.5;0.61;20.81;571.1;53.1;132.7 u/h;0;118;OK
100419;CNC;Morning;Intermediate;no;;5.86 bar;1.01;14.22;764.2;;116.6;0;57;OK
100905;Conveyor;Night;Intermediate;No;60.71;;1.66;21.63;288.9;56.3;153.6;0;60;OK
101205;CNC;Morning;Junior;1;51,98;6.67;2.74;13.08;1054.7;13.5;107.8;0;54;OK
101070;Pump;Afternoon;junior;0;62.53;;2.85;32,18;990.6 h;35.9;125.2;0;98;FAILURE
101619;Conveyor;Night;Junior;No;69.04 C;8.21;4.08;17.11;633.4;28.7;134.4;4;13;OK
101572;Compressor;Night;Mid;Yes;92.21;8.72;4.87;9.11;832.8;45.3;107.1;1;92;FAILURE
100894;CNC;Afternoon;Intermediate;Yes;78.12;7.22;4.88;22.99;751.8;34.8;106,4;4;113;FAILURE
101187;Pump;Night;Intermediate;No;77.11;6.71;2.51;22.72;633.6;26.9;111.5;1;68;OK
102358;Pump;morning;Intermediate;No;79.62;8.39;4.34;13.73;937.7;43.7;67.6;1;75;FAILURE
100727;CNC;Afternoon;Senior;No;63.16;5.21;5.36;13.52;857,5;28.0;120.3;2;68;WARNING
101452;Compressor;Afternoon;Senior;No;81.66;6,26;1.68;18.8;672.8;43.0;83.5;0;86;WARNING
102507;Conveyor;M;Junior;No;54.21;5.57;2.59;19.59;1355.5;48.4;147.2;0;77;FAILURE
101414;Conveyor;Morning;Junior;Y;77.79;6.08;1.6;14.66;437.3;45,4;108.1;6;26;OK
102029;Pump;MORNING;Jr;N;79.12;9.15;0,95;19.68;550.1;50.5;86.5 u/h;1;15;WARNING
101704;Compressor;Morning;Intermediate;N;90.29;8.7;3.75;22.93;466.8;56.3;79.2;3;25;WARNING
101796;CNC;AFT;senior;No;54.61;6.27;3.68;25.93;444.1 h;48.1;115.9;2;8;OK
102340;CNC;Morning;Intermediate;Yes;64.39;6.52;2.48;18.24;702.5;38.9;135.4;2;113;WARNING
100625;Conveyor;Morning;Intermediate;;66.01;6.73;1.84;15.72;874.8;48.4;92.8;1;69;WARNING
102096;Pump;Afternoon;senior;no;77.46;7.42;7.24;22.06;609,3;38.2;80.8;1;111;FAILURE
100066;Compressor;Night;Junior;N;100.68;8.83;2.22;21.07 A;155.0;61.7;;3;5;OK
101953;Compressor;Morning;senior;no;85.57;7.75;4.47;20.88;1081.9;39.3;98.8;3;116;FAILURE
100667;Conveyor;MORNING;Senior;no;66.29;5.16;2.01;14,13;859.3;41.1;120,1;0;118;OK
101778;Pump;Morning;Junior;no;82.88;8.03;3.36;22.87 A;1351.0;66.1;89.6;3;41;FAILURE
102466;Compressor;afternoon;Intermediate;N;86.01;8,19;5.91;21.33;586.4;24.4;76.2;0;8;WARNING
102498;CNC;Afternoon;Senior;no;59.18;7.54;0.86;25.02;1040.0;21.5 %;84.6;0;7;WARNING
101830;Pump;Morning;Senior;no;71.33;;1.32;23.01;1035.8;36.9;82.9;1;10;FAILURE
100279;Conveyor;Afternoon;Intermediate;;;5.33;2.6;14.52;1905.3;54.7;110.0;0;55;FAILURE
101076;Pump;Night;Senior;No;84.08;6.64;4.28;26.82;751.0;28.5;75.8;3;108;FAILURE
102577;Compressor;Morning;Junior;no;101.59;5.01 bar;3,1;24.79;809.9;30.4;89.3 u/h;3;42;FAILURE
100458;Pump;M;Sr;No;65.21;6.61;;28.58;717.6;45.4;91.4;3;79;WARNING
101852;Conveyor;Night;Junior;N;71.22;6.59;1.49;16.94;515.0;45,8;102.8;1;72;OK
101803;CNC;Morning;Intermediate;No;75,76;4.22;1.92;20.41;955.9;54.7;91.1;3;72;WARNING
101071;Conveyor;Morning;Intermediate;no;51.67;4.78;2.11;18.34;977.9;73.4;121.1;0;99;OK
102121;CNC;Afternoon;Junior;No;66.01;6.14;1.03;26.54;678,4;47.9;82.3;0;43;OK
100045;Conveyor;MORNING;intermediate;1;71.72;4.77;5.23;18.02;802.5;48.0;100.7;1;108;WARNING
101687;Pump;Night;Intermediate;No;74.73;6.08;4.29;20.21;;37.4;unknown;0;19;FAILURE
100926;CNC;A;Intermediate;0;80.88;6.24;5.4;17.28;417.0;58.5;98.3;4;101;FAILURE
100453;Compressor;AFT;intermediate;N;100.07;8.93 bar;1.15;24.19;N/A;52.0;68.7;4;89;OK
100597;Compressor;A;Mid;0;92.67;7.42 bar;3.28;26.07 A;688,6;41.6;100.9;1;100;FAILURE
100175;CNC;Night;Intermediate;0;77.57;4,0;2.78 mm/s;17.62;502.2;52.9;118.1;3;63;OK
101706;Conveyor;Morning;Senior;N;56.59 C;5.63;1.29 mm/s;17.7;229.7;50.2;88.3;1;66;OK
101002;Pump;MORNING;Intermediate;0;105.74;7.99;3.44;24.98;1285.5;64.7;91.0;0;64;FAILURE
101591;CNC;MORNING;Intermediate;No;64.54;5.61;1.82;13.12;1143.0;62.2;94.9;1;96;FAILURE
100513;CNC;NIGHT;Senior;1;63.29;6.4;3.13;19.08;689.9;29.2;108.4;2;20;OK
100553;CNC;M;Senior;0;73.27;4.91;4.04 mm/s;7.2;506.9;25.0;103.0;3;70;OK
100404;CNC;Night;Senior;No;84.37;6.43;2.48;18.25;1053.8;46.1;113.8;0;82;FAILURE
100556;CNC;Morning;intermediate;0;65.96;4.14;6.71 mm/s;10.53 A;408.5;44.9;91.0;2;88;OK
101058;CNC;Afternoon;Junior;0;83.92;6,54;3,84;15.54;515.6 h;25.5;103.6;6;108;FAILURE
101672;Compressor;Afternoon;Intermediate;Yes;60.29;7.57;3.43;15.26;1757.9;54.9;89.8;1;105;FAILURE
100143;Conveyor;Morning;Senior;No;;6.33 bar;0.64;11.89;702.1;27.6;99.3;2;36;OK
101227;Pump;Morning;junior;0;85.79;6.82;1.55;22.45;609.2;47.2;87.1;7;85;OK
100059;CNC;morning;Intermediate;No;68.53;5.59;0.79;21.08;888.1;28.5;80.3;0;95;WARNING
100771;CNC;NIGHT;Intermediate;No;80,19;6.56;2.81;21.97;1189.6;46.9;119.2;2;91;FAILURE
100576;Pump;Morning;Junior;No;64.67;4.54;;12.63;992,0;32.1;86.2;2;13;WARNING
101356;CNC;Afternoon;;No;68.53;6.64;3.92;24.21;519.9;58.3;109.4;1;77;OK
101835;CNC;Afternoon;Junior;N;64.2;6.44;0.8;22.58;834.9;49.5;85.5;0;115;WARNING
101135;Conveyor;Morning;Senior;No;68.2;6.84;3.05;13.73;432.7;27.7;111.9;0;1;OK
100306;Pump;Afternoon;Intermediate;Yes;;6.82;3.4;17.09;550.4;40.9;94.4;4;80;WARNING
101744;Conveyor;Morning;Intermediate;No;;3.96;5.53;18.56 A;654.4;28.3;117,3;2;40;WARNING
102106;Compressor;MORNING;Intermediate;N;84.33;8.8 bar;6.89;23.1;803.4;35.5;92.5;2;69;FAILURE
100706;Compressor;Morning;Senior;No;68.88;8.72;2.32;24.01;1367,9;67.0;99,9;1;7;FAILURE
101983;Conveyor;Night;Intermediate;N;59.53;5.98;9,86;16.21;344.0;37,2;135.8;3;38;FAILURE
101140;Compressor;A;senior;No;97.74;8.17;2.91;27.6;884.0;;88,2;1;20;FAILURE
101995;Pump;Morning;Senior;Yes;56.03;5.97;;18.08;520.8;57.6;92.5;0;16;OK
101889;Conveyor;MORNING;junior;Yes;65.75;6.34;5.13;17.62;927.0;40,2;110.1;3;6;WARNING
102164;Pump;Afternoon;Senior;No;84.91;8.63;4.37;20.6;862.9;76.9;87.7;6;2;FAILURE
101257;Compressor;NIGHT;Intermediate;N;70.43;8.89;?;22.01;1209,8;41,7;71.1;4;64;FAILURE
102249;Pump;MORNING;Intermediate;No;67,49;5.35;1.14;14.15;394.6;32.4;93.2;1;26;OK
101841;CNC;Morning;Intermediate;N;61.95;6.19;2.54;16.3;516.9;24.4;70.5;0;59;OK
102352;Conveyor;Night;Intermediate;No;73.34;6,82;1,15;11.6;422,2;53.1;119.3;0;12;OK
100202;Conveyor;Afternoon;Junior;No;54.71;5.12;4.84;17.19;406.1;24.1;121.4;1;33;OK
101072;Compressor;afternoon;Junior;No;86.18;7,46;5.04;16.74;452.9;71.0;81.6;1;35;OK
101398;Conveyor;Afternoon;Intermediate;No;57.55;5.47;1.13;16.52;1423.1;26.2;122.4;0;102;FAILURE
102085;Compressor;Night;Senior;no;92.31;7.39;6.56;;616.5;46.3;105.1;5;10;FAILURE
101343;Pump;Morning;Senior;No;;6.09;3.12;32.04;631.4;29.2;87.3;3;83;WARNING
100524;Compressor;A;Senior;no;93.1;8.36;5.04;15.62;118.1;18.5;69.3;6;40;OK
100466;Compressor;A;Intermediate;No;103.39;;;16.85;210.7;47.2;98.2;1;87;OK
101559;Compressor;Afternoon;intermediate;no;;5.57;4.55;21.6 A;612.7;54.6;68.5;1;12;OK
100370;Conveyor;Morning;senior;No;50.44;5.56;5.58;14.84;944.1;unknown;121.7;4;31;FAILURE
100809;Pump;Afternoon;;No;71.39;7.32;0.91;22.21;887.3;32.5;85.8;0;62;OK
101272;Pump;M;Intermediate;No;77.58;6.69;0.48;22.08;542.5;12.8;52.6;2;20;OK
100557;CNC;Morning;Junior;no;69.08;6.39;4.17;19.75;1000.5;42.1;117.0;0;50;FAILURE
102207;Compressor;AFT;Senior;N;70.52;5.74;0.77;21.29;512.8;43.4;58.3;0;99;OK
101857;CNC;Morning;senior;;67.72;4.6;0.76;15.23;695.0;48.0;97.7;0;106;OK
101261;CNC;Afternoon;Junior;0;72.98;;5.33;12.61;680.1 h;60.9;110.8;0;102;FAILURE
100702;Pump;Morning;junior;no;75,66;8.51;6.24;15.67;231.5;58.8;91.9;5;99;OK
101882;Compressor;Afternoon;senior;Y;91.44;8.2;2.49;17.58;568,2;39.1;70.1;3;100;WARNING
101917;Compressor;afternoon;Intermediate;No;100.83;8.28;6.87;22.3;738.6;26.2;105,9;9;25;FAILURE
102567;CNC;Afternoon;Senior;No;;7.47;3,01;19.4 A;698.3;43,7;120.7;0;47;FAILURE
101291;Pump;morning;Intermediate;N;94.72;7.23;7.36;15.63;410.6;41.9;81.8;3;89;FAILURE
101865;Compressor;Morning;Intermediate;Yes;85.66;7.9;0.36;22.14;855.0;31.1;76.1;1;24;WARNING
101206;CNC;morning;Senior;No;62.6;5.86;3.48;20,55;1070.0;41.2;88,5;1;46;WARNING
100961;Pump;Night;intermediate;0;77.15;6.46;1.0;25.21;733.8;25.4;107.3;2;94;OK
102167;Conveyor;Afternoon;Junior;No;64.17;3.86;2.73;17.23;233.3;47.1 %;101.2;1;14;OK
102286;CNC;NIGHT;Senior;No;;7.4;2.63;12.98;768.5;38,1;83.9;1;1;OK
101440;Conveyor;night;intermediate;N;68.02;6.06;1.71;12.9;569.2;42,0;113.3;1;69;OK
101407;Conveyor;Afternoon;Senior;0;62.73;6.49;2.72;20.64;526.5;51.5;136.4;2;104;OK
100408;Conveyor;Morning;intermediate;No;71.55;5.72;1.27;15.09;960.8;40.0;97.6;2;98;FAILURE
101844;Conveyor;Night;Junior;yes;55.95;5.52;2.85;16.21;1751.3;41.8;94.6;1;110;FAILURE
101165;CNC;Morning;Senior;no;66,33;6.13;0.75;23.39;1203.7;58.1;96,3;0;13;FAILURE
100013;Compressor;A;Senior;No;79.97;10.52;2.91;21.19;159.4;16.0;81.8;1;88;OK
102298;CNC;afternoon;Intermediate;No;73.72;6,95;0,71;14.7;2073,8;31.2;117.2;1;50;FAILURE
101735;Conveyor;Night;Intermediate;N;60.85;7.16;0.77;13.63;240.3;22.6;108.8;0;51;OK
100719;Compressor;Morning;Senior;0;85.36;6.61;0.94;24.49;1388.3;52.0;61.2;0;23;FAILURE
101300;Pump;Morning;Intermediate;no;65.25;8,06;4.39;24.81;1435.4;34.4;113.5;2;102;FAILURE
100686;Pump;Afternoon;Junior;No;66.52;8.29;5.22;15.8;356.7;60.3;N/A;2;13;OK
101117;CNC;Night;Intermediate;N;unknown;7.67;3.1;21.01;848.8;48.5;140.6;2;49;WARNING
102325;CNC;AFT;Junior;Yes;;7.2;1.2;18.1;892.7;44.5;111.7;1;55;OK
102144;Conveyor;Morning;Junior;0;70.49;5.49;0.8;16.48;700.8;44.4;94.1;0;50;OK
101905;Compressor;MORNING;Intermediate;No;70.76;10.41;6.85;18.67;723.2;59.5;;6;5;FAILURE
100069;CNC;Afternoon;Senior;N;53.28;8.01;3.48;20.17;249.7;29.2;91.5;2;22;OK
100086;CNC;Night;Junior;no;52.5;6.01;2.37;16.83;1163.9;25.1;124.3;0;43;WARNING
100173;CNC;Night;Junior;0;73.59;6.17;2.1;13.87;740.0;54.2;100,3;0;31;OK
101150;Conveyor;Morning;Intermediate;Yes;65.43;5.68;0.77;23.25;1357.1;;152.6;0;115;FAILURE
102377;Conveyor;Afternoon;Senior;Y;56.75;7.12;4.85;12.32;949.4;51.8;100.2;1;100;FAILURE
100414;Conveyor;Afternoon;Mid;No;62.35;4.76;2.39;17.61;546.5;37.4;102,3;1;12;OK
