machine_type,shift,maintenance_done_recently,runtime_hours,production_units,avg_load_pct,temperature_c,vibration_mm_s,idle_minutes,days_since_maintenance,energy_kwh
Pump,Night,No,18.74,930,74.1,53.1,4.89,44.3,51,332.2
Pump,Afternoon,No,15.25,740,63.7,62.4,1.77,39.6,21,248.6
Compressor,Night,Yes,11.65,1456,78.7,96.1,8.03,18.7,17,380.7
Compressor,Afternoon,No,4.58,1215,80.0,98.6,3.32,10.5,13,306.3
Compressor,Night,No,14.18,1282,98.9,96.5,1.82,68.9,59,379.7
Pump,Afternoon,No,1.08,605,48.3,55.0,1.22,52.1,48,156.0
Conveyor,Morning,Yes,21.36,347,52.1,43.6,2.28,4.2,106,250.7
Compressor,Afternoon,No,13.96,1333,71.7,92.0,5.38,35.2,90,305.1
Compressor,Morning,No,8.45,1782,89.1,79.6,2.3,78.3,104,390.6
Compressor,Morning,No,16.85,1004,100.0,87.9,14.08,27.7,22,437.1
CNC,Night,No,9.19,949,79.7,77.9,6.5,55.0,54,287.2
CNC,Night,No,12.64,1069,68.3,60.6,3.41,37.7,37,254.3
Pump,Night,No,9.0,972,63.4,42.3,3.67,59.2,66,225.8
Pump,Afternoon,No,19.67,783,82.0,53.6,0.9,58.9,31,308.3
CNC,Morning,No,9.19,1076,98.1,76.1,1.67,40.0,3,322.6
CNC,Morning,No,4.71,810,97.6,57.8,2.58,49.3,33,269.8
Pump,Morning,No,3.84,716,63.3,57.7,3.81,11.7,43,227.5
Compressor,Morning,Yes,20.9,1405,100.0,74.7,0.84,83.0,82,338.2
CNC,Night,Yes,20.85,987,53.6,64.2,2.18,56.9,119,292.7
CNC,Morning,No,9.2,501,62.4,70.8,1.16,49.5,13,243.2
Conveyor,Morning,No,10.12,637,61.4,59.2,0.39,53.3,65,246.3
Compressor,Night,No,17.62,1598,86.9,86.4,0.88,54.3,53,369.4
CNC,Morning,No,10.45,919,80.3,60.9,2.02,43.1,36,305.9
Conveyor,Morning,No,11.4,691,58.3,47.3,1.86,73.3,53,241.4
CNC,Night,No,11.43,513,70.7,70.5,2.55,22.9,25,299.3
CNC,Night,No,13.02,865,86.2,74.6,0.33,66.1,87,305.3
Conveyor,Afternoon,No,9.43,653,55.1,48.3,2.67,50.6,68,205.0
CNC,Afternoon,No,5.48,961,87.1,54.9,1.0,27.0,32,253.6
Conveyor,Morning,No,11.71,574,36.0,37.6,1.16,29.3,45,171.2
CNC,Morning,Yes,20.46,868,66.9,72.7,4.07,36.1,83,324.7
CNC,Morning,No,20.23,633,47.0,63.7,7.16,36.6,64,316.7
Compressor,Night,No,7.2,900,89.3,98.3,5.92,5.6,8,316.9
Conveyor,Afternoon,No,16.81,584,63.3,44.7,2.15,79.2,29,274.7
Pump,Night,No,5.66,846,58.7,45.4,1.56,57.0,99,197.5
CNC,Afternoon,No,10.45,931,79.5,86.3,1.59,83.5,87,299.9
Pump,Morning,No,18.05,878,54.4,55.3,0.9,42.6,67,262.1
CNC,Afternoon,No,6.81,1161,77.2,69.6,2.92,50.6,108,289.4
Pump,Morning,No,17.74,684,61.0,55.1,5.0,45.8,8,240.0
Compressor,Morning,Yes,20.36,1023,100.0,72.2,1.89,23.1,75,366.9
CNC,Night,No,10.97,1232,77.8,75.2,2.8,41.6,30,331.1
Compressor,Morning,No,3.16,907,100.0,65.1,2.39,29.8,53,286.9
Conveyor,Afternoon,Yes,20.35,463,40.2,48.5,0.66,44.8,51,242.8
Pump,Morning,No,3.92,643,46.4,57.2,5.53,59.6,16,233.8
CNC,Night,No,15.88,638,82.9,58.0,1.45,27.1,96,291.0
Conveyor,Night,Yes,18.91,454,54.4,52.0,1.39,64.6,46,216.2
Conveyor,Night,No,18.42,481,57.2,52.9,0.56,58.9,71,238.6
CNC,Morning,No,18.48,846,76.6,66.6,1.76,30.8,62,352.0
Conveyor,Morning,No,3.64,713,39.0,43.8,4.12,48.6,72,194.2
Pump,Afternoon,No,1.58,739,62.2,53.5,2.19,43.1,34,211.9
CNC,Afternoon,No,8.27,776,61.4,69.6,2.29,58.3,51,246.7
CNC,Morning,No,16.54,1312,73.1,47.2,2.0,57.3,102,289.2
Compressor,Night,Yes,22.01,1057,67.6,95.9,1.59,40.2,97,362.1
CNC,Morning,No,1.2,1024,70.8,66.5,3.19,39.5,75,216.9
Compressor,Afternoon,No,20.15,1263,100.0,98.2,3.15,68.7,81,427.5
CNC,Night,No,11.49,874,75.5,88.1,2.93,58.8,104,312.0
Pump,Morning,No,16.12,839,63.8,45.2,2.57,47.8,118,267.3
CNC,Morning,No,11.95,978,69.5,63.7,1.31,64.2,49,257.8
Compressor,Morning,No,5.6,1036,100.0,88.4,3.99,26.8,85,331.3
Pump,Night,Yes,10.78,670,48.9,55.1,1.26,56.5,36,200.2
Pump,Night,No,3.63,760,62.2,61.8,0.94,34.5,73,221.8
Conveyor,Night,No,20.93,392,49.1,52.1,1.18,53.5,49,239.3
Pump,Night,No,9.55,773,65.8,63.4,0.96,74.7,37,242.8
Compressor,Morning,No,22.68,1185,84.7,66.4,0.37,59.1,8,314.9
Compressor,Morning,No,8.31,1234,100.0,76.2,4.06,57.4,100,307.6
Compressor,Night,No,4.46,1224,77.1,87.7,3.67,50.3,68,323.3
Conveyor,Morning,No,16.5,589,28.4,51.9,1.4,67.4,61,232.9
Compressor,Night,No,14.66,1493,98.5,99.0,5.19,60.7,41,402.3
CNC,Afternoon,No,12.57,737,71.4,60.3,2.71,46.1,108,262.7
Compressor,Afternoon,No,23.56,945,96.9,94.1,2.81,50.5,81,390.1
CNC,Night,No,19.92,926,67.9,68.7,0.09,53.1,107,297.3
CNC,Afternoon,No,9.18,1259,54.9,62.6,1.58,23.0,45,247.2
Compressor,Night,No,23.68,1411,83.8,91.4,3.08,80.3,13,426.8
CNC,Night,No,7.57,1172,76.8,92.5,3.08,42.6,14,305.2
Pump,Morning,No,22.93,1035,54.4,49.1,1.69,75.9,81,305.5
Conveyor,Night,No,14.97,524,50.8,51.7,0.84,0.0,64,225.7
Pump,Afternoon,Yes,21.05,316,62.2,62.4,0.31,41.4,113,212.0
Pump,Afternoon,No,2.04,862,67.0,58.1,2.35,57.3,64,217.1
Conveyor,Night,No,4.41,496,64.2,39.7,0.65,31.2,60,203.9
Compressor,Afternoon,Yes,21.22,1081,99.0,73.3,1.73,39.3,3,323.8
Conveyor,Morning,No,9.84,737,42.5,43.3,2.37,5.2,33,168.7
Pump,Afternoon,No,14.83,587,63.5,45.3,1.15,56.3,6,275.5
CNC,Night,No,18.38,868,70.8,73.0,4.23,51.5,2,297.8
CNC,Morning,Yes,8.84,1138,90.1,67.1,1.92,68.5,43,258.0
CNC,Morning,Yes,11.47,1166,92.4,58.0,2.73,32.4,58,275.9
CNC,Morning,No,3.07,1103,87.5,58.6,3.85,40.6,33,257.9
CNC,Afternoon,Yes,4.34,1208,88.4,70.7,1.66,16.7,20,267.4
Compressor,Morning,No,17.88,1025,75.8,84.4,5.58,57.2,66,380.2
CNC,Morning,Yes,13.84,896,59.2,78.5,0.15,72.9,83,268.2
Pump,Morning,No,21.91,922,44.3,55.0,3.4,38.2,8,265.8
Pump,Night,Yes,15.29,918,54.0,69.7,0.7,49.2,66,311.0
Pump,Morning,No,13.87,931,64.3,56.4,11.65,22.5,109,283.6
CNC,Morning,No,8.87,1149,87.2,55.5,2.31,60.5,97,279.7
CNC,Morning,Yes,18.02,1356,58.3,48.4,1.57,44.2,19,277.8
Conveyor,Afternoon,Yes,19.47,728,28.0,45.7,0.24,50.9,63,222.2
Conveyor,Night,Yes,6.34,495,59.5,54.0,1.54,41.9,36,206.9
Pump,Night,No,5.27,828,74.8,56.5,1.18,59.8,107,301.8
Pump,Night,No,15.93,685,41.9,72.3,0.72,51.3,23,205.6
Pump,Afternoon,Yes,7.8,639,43.7,65.4,0.23,33.7,24,131.0
Pump,Afternoon,No,11.28,961,70.8,53.7,1.13,51.7,86,279.5
Compressor,Afternoon,No,22.09,1586,67.2,97.5,0.75,61.0,30,340.3
Compressor,Morning,No,6.61,1266,64.7,86.8,0.42,70.9,59,268.7
Pump,Morning,Yes,8.42,838,85.5,54.9,1.86,48.7,38,251.2
CNC,Afternoon,Yes,6.02,858,55.4,70.2,2.64,58.2,87,261.2
Compressor,Morning,No,1.04,1045,82.2,92.5,2.15,61.6,89,250.6
Pump,Morning,Yes,15.12,491,44.7,62.3,0.15,94.3,36,248.5
Conveyor,Afternoon,No,12.38,745,43.8,49.6,2.46,52.2,63,214.1
Pump,Morning,No,12.23,695,63.2,54.4,4.31,43.7,94,271.7
CNC,Afternoon,No,9.8,1057,57.3,70.4,2.36,40.9,56,253.1
Compressor,Afternoon,No,8.97,1263,100.0,92.3,3.33,49.3,30,347.4
Conveyor,Morning,No,5.33,371,41.2,46.7,1.24,83.9,108,138.3
Pump,Morning,No,10.12,968,71.7,55.9,5.29,82.7,40,283.8
Conveyor,Morning,Yes,4.01,682,52.7,38.5,0.52,25.2,108,128.5
CNC,Afternoon,No,17.47,1021,76.5,54.2,1.48,27.2,117,311.0
CNC,Afternoon,Yes,8.88,661,100.0,73.2,4.59,34.4,99,301.9
Pump,Afternoon,Yes,11.67,790,56.1,56.0,1.53,17.4,3,205.8
Pump,Night,No,15.25,645,52.0,67.7,2.11,52.3,102,243.2
Conveyor,Night,Yes,21.33,644,54.3,48.8,1.43,32.7,33,250.0
Conveyor,Morning,Yes,2.05,910,52.9,47.3,1.79,40.8,23,166.2
Pump,Night,No,17.23,595,59.9,67.6,0.69,51.3,87,270.4
Compressor,Afternoon,No,21.91,750,99.5,88.2,2.32,17.3,47,377.6
Compressor,Morning,No,15.73,1131,96.2,88.8,2.29,65.6,49,339.9
Conveyor,Afternoon,Yes,13.95,635,54.4,42.2,4.01,73.9,98,267.2
CNC,Afternoon,Yes,16.03,1003,77.5,62.3,2.36,71.9,60,333.4
Compressor,Morning,Yes,12.9,1510,100.0,65.6,6.87,43.9,47,378.2
Conveyor,Morning,No,16.73,541,57.7,48.2,1.54,88.3,74,249.4
Compressor,Afternoon,No,13.34,1258,100.0,99.1,1.41,43.3,24,379.8
Compressor,Morning,No,6.99,860,100.0,93.0,13.83,45.5,26,400.9
Conveyor,Afternoon,Yes,11.82,465,34.5,52.3,3.73,45.9,50,148.6
CNC,Morning,Yes,8.43,1002,72.7,56.9,0.68,80.2,46,215.4
CNC,Afternoon,No,20.34,1095,87.2,36.4,3.59,15.1,111,319.1
CNC,Morning,No,7.86,853,42.3,50.8,2.98,30.9,63,194.7
Compressor,Morning,Yes,14.86,876,63.4,86.7,2.0,61.0,17,298.2
Pump,Night,No,13.55,553,72.8,54.2,2.11,44.7,37,247.5
CNC,Morning,No,15.83,845,84.1,75.4,2.85,14.8,33,310.0
CNC,Night,No,18.08,902,83.0,76.4,0.61,90.1,55,315.6
Pump,Afternoon,No,3.25,866,63.2,68.5,2.97,68.4,93,220.6
Pump,Morning,Yes,20.38,646,70.7,52.4,1.48,59.5,46,233.0
Compressor,Afternoon,No,12.61,814,96.8,74.6,0.82,65.1,63,312.2
Pump,Night,No,5.49,571,55.9,67.4,0.42,38.1,83,162.3
Conveyor,Morning,No,17.13,408,60.2,51.8,1.43,67.5,68,260.2
Compressor,Night,Yes,18.44,990,82.4,92.9,2.85,23.8,81,348.2
Pump,Morning,No,21.86,749,81.5,57.1,2.5,49.6,74,304.2
Conveyor,Night,No,18.47,795,57.6,47.4,2.04,14.6,40,201.1
CNC,Morning,No,10.75,1209,83.2,84.7,0.5,28.8,6,307.2
Conveyor,Morning,No,9.53,775,67.9,44.1,2.23,76.9,43,298.1
Compressor,Afternoon,No,5.11,1004,100.0,75.7,1.96,35.3,64,335.7
Conveyor,Night,No,8.34,604,53.9,45.4,3.73,23.2,62,228.6
CNC,Night,No,22.34,1064,84.8,89.1,0.03,91.3,39,365.3
CNC,Afternoon,Yes,3.93,997,76.8,87.7,2.4,26.5,33,233.5
Pump,Night,No,9.95,954,62.6,62.7,0.29,32.2,72,312.9
CNC,Afternoon,No,1.57,747,73.1,69.4,2.63,55.9,5,209.1
CNC,Morning,No,13.14,1048,74.3,58.6,1.98,11.6,91,286.2
Pump,Morning,No,2.8,812,73.2,60.1,4.11,36.8,76,288.6
Compressor,Morning,Yes,16.16,1160,64.9,90.8,5.2,51.9,41,371.3
Conveyor,Afternoon,No,14.86,677,38.6,62.5,2.81,72.1,37,250.9
CNC,Night,Yes,20.24,689,46.0,66.5,2.2,40.8,56,237.1
Conveyor,Afternoon,No,16.89,692,59.1,40.8,1.85,32.4,14,197.7
CNC,Night,No,3.13,865,79.3,87.9,0.76,73.1,43,227.1
CNC,Night,Yes,23.78,881,100.0,80.9,3.14,53.0,9,375.2
Compressor,Morning,No,23.09,1083,100.0,89.6,1.08,68.2,95,386.0
CNC,Morning,No,16.84,1332,81.8,63.5,5.01,40.3,97,302.4
Conveyor,Morning,Yes,20.85,705,64.2,32.2,1.52,55.4,85,247.5
CNC,Night,No,1.83,1031,72.9,84.9,2.18,58.3,34,206.4
CNC,Night,No,7.94,1290,67.5,73.6,1.12,33.8,59,250.2
Compressor,Morning,No,21.49,1438,95.0,70.3,0.87,22.5,47,392.5
Pump,Afternoon,No,5.55,957,55.7,53.3,4.81,19.1,66,267.9
Conveyor,Night,Yes,20.99,516,51.6,50.1,3.06,36.0,83,245.8
Pump,Morning,Yes,12.2,749,62.0,62.9,1.57,3.3,53,247.4
CNC,Afternoon,No,11.67,920,55.7,71.1,2.35,37.7,24,225.4
CNC,Afternoon,No,9.42,1124,100.0,63.9,4.91,37.2,51,308.9
CNC,Afternoon,No,5.55,1235,70.7,80.9,1.76,48.3,48,263.4
CNC,Night,No,22.38,1069,44.3,59.9,0.49,32.5,89,267.1
CNC,Night,No,22.66,1102,75.7,56.0,1.58,42.3,82,359.9
CNC,Night,No,13.77,1140,77.7,83.1,0.83,43.2,79,297.6
Conveyor,Morning,No,9.72,707,47.3,47.8,3.0,57.3,116,211.9
Compressor,Morning,No,19.89,845,100.0,75.6,3.64,20.2,47,381.6
Pump,Night,Yes,13.08,881,51.6,63.7,1.01,72.2,78,282.0
Conveyor,Night,Yes,17.8,547,62.1,51.9,0.57,77.1,38,232.0
Compressor,Night,No,17.76,982,86.2,73.8,6.24,70.2,93,416.8
Compressor,Night,No,4.6,1344,100.0,80.9,1.38,51.8,55,319.3
Compressor,Afternoon,No,20.55,943,95.4,98.4,3.6,27.6,65,408.3
Pump,Morning,No,13.52,875,70.7,52.5,2.41,61.7,112,301.9
Pump,Night,No,20.47,711,56.5,58.7,1.03,13.4,14,240.3
Conveyor,Afternoon,No,21.8,635,57.3,45.4,0.38,36.1,96,292.3
Pump,Night,No,9.29,719,75.3,78.6,2.02,16.1,42,287.7
Pump,Morning,No,21.42,843,55.7,51.8,1.78,32.2,90,316.5
CNC,Afternoon,Yes,10.49,888,57.9,56.2,5.37,40.3,12,213.5
Compressor,Night,No,3.99,1088,84.4,104.5,1.04,27.0,45,310.4
Compressor,Morning,No,7.7,1248,100.0,80.1,1.86,72.5,11,321.7
Pump,Night,No,17.16,739,62.3,72.5,2.56,62.1,85,308.4
Pump,Night,Yes,18.13,493,28.1,72.1,0.79,6.2,100,199.7
Compressor,Afternoon,Yes,8.58,1009,97.2,88.7,1.5,39.0,73,259.6
Pump,Morning,No,23.2,616,81.5,49.0,2.32,5.3,22,288.4
Compressor,Night,No,7.6,1277,78.5,102.5,1.76,62.3,63,344.4
CNC,Night,Yes,18.6,1014,89.0,64.2,4.81,56.0,2,316.9
Compressor,Morning,No,16.83,1299,61.8,79.6,6.08,84.1,1,307.9
CNC,Night,No,8.51,1054,100.0,74.3,1.69,54.6,118,311.1
Conveyor,Afternoon,No,6.34,783,43.1,45.5,2.83,74.1,67,168.4
Pump,Afternoon,Yes,18.87,789,35.5,59.6,4.11,55.9,47,231.1
Pump,Night,No,14.73,879,61.0,69.7,1.71,19.6,13,290.5
Conveyor,Morning,No,11.03,673,54.3,32.7,1.07,28.6,104,183.2
CNC,Morning,Yes,8.6,914,73.1,59.6,4.29,41.1,19,289.8
Conveyor,Afternoon,No,12.96,363,45.9,54.5,5.05,64.5,7,248.0
Conveyor,Afternoon,No,16.91,655,43.0,50.0,0.41,18.1,97,211.7
Compressor,Morning,No,13.93,1254,91.0,62.1,2.29,31.5,13,324.9
Compressor,Morning,No,17.58,1122,91.8,75.6,12.73,41.0,2,454.9
Pump,Afternoon,No,21.5,727,56.4,64.2,0.83,79.6,62,275.8
CNC,Morning,No,9.29,973,80.4,71.4,1.86,0.0,28,306.0
CNC,Morning,Yes,1.15,650,80.6,83.1,1.03,56.0,48,236.5
Compressor,Afternoon,No,18.44,1272,100.0,81.4,0.6,77.9,101,413.0
Conveyor,Afternoon,No,2.63,694,41.8,37.4,0.3,78.7,15,110.4
Pump,Night,No,23.3,1183,71.2,69.0,0.83,24.2,92,323.6
CNC,Morning,No,13.08,760,93.4,70.3,2.46,42.1,88,338.6
Conveyor,Morning,No,20.5,478,55.6,49.3,2.19,45.7,111,294.3
Conveyor,Morning,No,9.94,1006,62.2,39.4,0.93,42.0,58,218.6
Pump,Afternoon,No,1.62,1145,80.3,47.4,0.91,55.0,7,248.7
Compressor,Afternoon,No,21.12,1199,86.9,99.2,0.81,67.7,4,407.9
CNC,Night,No,17.82,878,79.9,72.1,0.89,18.5,118,282.6
CNC,Afternoon,Yes,7.49,610,91.6,51.8,5.19,26.1,88,267.0
Compressor,Afternoon,No,18.08,1058,86.8,99.7,1.55,22.7,21,357.0
Pump,Night,No,23.43,809,75.0,58.8,0.11,38.6,102,279.6
Compressor,Night,No,1.08,1286,86.3,97.6,5.4,31.2,9,331.8
Pump,Morning,No,7.05,1060,58.3,50.3,2.3,35.2,118,226.6
Conveyor,Night,No,22.71,660,42.6,43.3,1.79,51.4,21,256.2
Compressor,Morning,No,11.96,1448,100.0,71.9,2.23,91.3,11,338.0
Conveyor,Afternoon,No,4.35,562,53.8,48.5,2.59,13.9,5,199.9
Pump,Morning,Yes,16.7,1013,62.5,61.0,2.22,52.4,114,285.5
Conveyor,Morning,No,16.42,500,50.4,40.7,0.81,39.8,62,199.5
Conveyor,Afternoon,No,2.14,731,40.7,38.1,1.76,38.3,45,165.4
CNC,Night,No,23.85,842,82.5,74.2,2.66,66.4,52,327.5
CNC,Morning,No,5.66,1018,73.2,55.4,1.72,64.0,40,253.7
CNC,Night,No,20.73,1079,82.5,81.9,0.65,45.3,45,363.7
Pump,Morning,No,4.79,808,60.7,49.2,7.37,31.8,110,245.1
CNC,Morning,No,1.63,535,75.1,68.8,1.56,43.5,94,176.2
